Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
1047,Coup d'état,22,March,2012,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative
1048,Seleka Rebellion Begins,Unknown,December,2012,Central African Republic,Rebellion,Central African Republic,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis.",Central Africans,Seleka coalition,Negative
1049,Boko Haram Insurgency Intensifies,Unknown,Unknown,2009,Nigeria,Insurgency,Northeast Nigeria,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative
1050,Independence from Sudan,9,July,2011,South Sudan,Independence,South Sudan,"Became the newest country in the world, following a referendum.",South Sudanese,"SPLM, International Community",Positive
1051,Fall of Blaise Compaoré,31,October,2014,Burkina Faso,Revolution,"Ouagadougou, Burkina Faso","Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive
1052,Coup d'état Leads to Mugabe's Resignation,21,November,2017,Zimbabwe,Coup,"Harare, Zimbabwe","Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president.",Zimbabweans,"Zimbabwean Military, Emmerson Mnangagwa",Mixed
1053,Appointment of Abiy Ahmed,2,April,2018,Ethiopia,Political,Ethiopia,Led to significant political reforms and a peace agreement with Eritrea.,Ethiopians,Abiy Ahmed,Positive
1054,Sudanese Revolution,19,December,2018,Sudan,Revolution,Sudan,"Overthrow of President Omar alUnknownBashir, leading to transitional government.",Sudanese,"Sudanese protestors, military",Positive
1055,Hirak Protest Movement,22,February,2019,Algeria,Protest Movement,Algeria,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.,Algerians,Algerian protestors,Positive
1056,Abolition of Slavery Enforced,Unknown,Unknown,1981,Mauritania,Legal,Mauritania,"Criminalization of slavery, though challenges in enforcement remain.",Mauritanians,Mauritanian Government,Mixed
1057,Operation Carlota Ends,Unknown,Unknown,1989,Angola,Military Withdrawal,Angola,"Cuban military withdrawal, pivotal in ending South African apartheid.","Angolans, Cubans",Cuban Government,Positive
1058,Nairobi's DusitD2 Complex Attack,15,January,2019,Kenya,Terrorism,"Nairobi, Kenya",Highlighted the ongoing threat of terrorism in East Africa.,Kenyans,AlUnknownShabaab,Negative
1059,Cyclone Idai,14,March,2019,Mozambique,Natural Disaster,"Mozambique, Zimbabwe, Malawi","One of the worst tropical cyclones on record in Africa, causing widespread destruction.","Mozambicans, Zimbabweans, Malawians",Climate,Negative
1060,Tigray Conflict Begins,4,November,2020,Ethiopia,Conflict,"Tigray, Ethiopia","Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis.",Ethiopians,"Ethiopian Government, TPLF",Negative
1061,#EndSARS Protests,8,October,2020,Nigeria,Protest Movement,Nigeria,Nationwide protests against police brutality and corruption.,Nigerians,"Nigerian Youth, Various Activists",Mixed
1062,Juba Peace Agreement,3,October,2020,Sudan,Peace Agreement,"Juba, South Sudan","Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states.",Sudanese,"Sudanese Transitional Government, Rebel Groups",Positive
1063,2021 General Elections,14,January,2021,Uganda,Election,Uganda,"Marked by allegations of fraud and violence, Yoweri Museveni reUnknownelected.",Ugandans,"Yoweri Museveni, Bobi Wine",Mixed
1064,Death of President Idriss Déby,20,April,2021,Chad,Military,Chad,"Died from injuries sustained in clashes with rebels, leading to political uncertainty.",Chadians,"Idriss Déby, FACT Rebels",Negative
1065,Discovery by Portugal,22,April,1500,Brazil,Discovery,Coast of presentUnknownday Brazil,Beginning of Portuguese colonization,Indigenous peoples,Pedro Álvares Cabral,Mixed
1066,Independence from Portugal,7,September,1822,Brazil,Independence,São Paulo,Transition to Empire of Brazil,Brazilian population,Dom Pedro I,Positive
1067,Abolition of Slavery,13,May,1888,Brazil,Legal,Brazil,End of slavery in Brazil,Slaves in Brazil,Princess Isabel,Positive
1068,Proclamation of the Republic,15,November,1889,Brazil,Political,Rio de Janeiro,End of the Brazilian Empire and the start of the Republic,Brazilian population,Marshal Deodoro da Fonseca,Positive
1069,Vargas Era Begins,3,November,1930,Brazil,Political,Brazil,Start of Getúlio Vargas' rule,Brazilian population,Getúlio Vargas,Mixed
1070,Military Coup,31,March,1964,Brazil,Military Coup,Brazil,Beginning of military dictatorship lasting until 1985,Brazilian population,Military leaders,Negative
1071,Direct Elections Now Campaign,Unknown,Unknown,1984,Brazil,Political Movement,Brazil,Nationwide protests for direct presidential elections,Brazilian population,Civil society groups,Positive
1072,Real Plan Implementation,1,July,1994,Brazil,Economic,Brazil,Stabilization of Brazilian economy and introduction of the Real (R$),Brazilian economy,Itamar Franco,Positive
1073,Lula da Silva's Presidency,1,January,2003,Brazil,Political,Brazil,First workingUnknownclass president,Brazilian population,Luiz Inácio Lula da Silva,Positive
1074,FIFA World Cup Victory,30,June,2002,Brazil,Sports,Sweden,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive
1075,Construction of Brasília,21,April,1960,Brazil,Urban Development,Brasília,Creation of a new capital aiming at interior development and national integration,Brazilian population,Juscelino Kubitschek,Mixed
1076,Tropicália Movement,Unknown,Unknown,1967,Brazil,Cultural,Brazil,AvantUnknowngarde music and arts movement challenging traditional Brazilian culture,Artists and intellectuals,Caetano Veloso,Positive
1077,Fernando Collor's Impeachment,29,December,1992,Brazil,Political,Brazil,First Brazilian president to be impeached due to corruption charges,Brazilian population,National Congress,Mixed
1078,Plano Real Economic Stabilization,1,July,1994,Brazil,Economic,Brazil,Introduction of the Real (R$) to stabilize the Brazilian economy,Brazilian economy,Itamar Franco,Positive
1079,Rio Earth Summit,Unknown,June,1992,Brazil,Environmental,Rio de Janeiro,International conference on environment and sustainability,Global population,UN,Positive
1080,FHC Presidency (Fernando Henrique Cardoso),1,January,1995,Brazil,Political,Brazil,Implementation of economic reforms and Plano Real,Brazilian population,Fernando Henrique Cardoso,Positive
1081,Mensalão Scandal,Unknown,Unknown,2005,Brazil,Political Scandal,Brazil,Major corruption scandal involving bribery and misuse of public funds,Brazilian population,Various politicians,Negative
1082,Dilma Rousseff's Impeachment,31,August,2016,Brazil,Political,Brazil,Second Brazilian president to be impeached accused of fiscal mismanagement,Brazilian population,Unknown,Mixed
1083,Zika Virus Outbreak,Unknown,Unknown,2015,Brazil,Health,Brazil,Major health crisis linked to birth defects sparking international concern,Brazilian population,Unknown,Negative
1084,Operation Car Wash (Lava Jato),Unknown,Unknown,2014,Brazil,Corruption Investigation,Brazil,Extensive corruption investigation impacting politics and businesses,Brazilian population,Federal Police,Mixed
1085,Amazon Rainforest Wildfires,Unknown,August,2019,Brazil,Environmental,Amazon Rainforest,International attention on Brazil's environmental policies and conservation efforts,Global and local environment,Various stakeholders,Negative
1086,Bolsonaro Presidency Begins,1,January,2019,Brazil,Political,Brazil,Marked by controversial environmental policies and conservative agenda,Brazilian population,Jair Bolsonaro,Mixed
1087,Foundation of the Holy Roman Empire,Unknown,Unknown,962,Germany,Political,Germany,Establishment of the Holy Roman Empire,Germanic peoples,Otto I,Positive
1088,The Investiture Controversy,Unknown,Unknown,1075,Germany,Religious/Political,Germany,Conflict between the monarchy and the papacy over appointment of bishops,European Christians,Henry IV,Mixed
1089,The Black Death in Europe,Unknown,Unknown,1347,Germany,Pandemic,Europe,One of the most devastating pandemics in human history killing an estimated 25 million people in Europe,European population,Unknown,Negative
1090,Martin Luther's 95 Theses,31,October,1517,Germany,Religious,Wittenberg,Initiated the Protestant Reformation,Christians,Martin Luther,Mixed
1091,The Peace of Augsburg,25,September,1555,Germany,Political,Augsburg,Allowed rulers to choose between Lutheranism and Catholicism leading to religious division,German states,Unknown,Positive
1092,The Defenestration of Prague,Unknown,May,1618,Germany,Political,Prague,Triggered the Thirty Years' War,Central European Christians,Bohemian Protestant nobles,Negative
1093,The Peace of Westphalia,Unknown,October,1648,Germany,Political,Münster and Osnabrück,Ended the Thirty Years' War marking the beginning of the state system,European population,European states,Positive
1094,The Foundation of the Kingdom of Prussia,Unknown,January,1701,Germany,Political,Königsberg,Establishment of Prussia as a kingdom leading to its rise as a major European power,European population,"Prussians, Frederick I",Positive
1095,The Seven Years' War,Unknown,Unknown,1756,Germany,Military,Europe,Confirmed Prussia's status as a great European power shaping European geopolitics,German population,"European powers, Frederick II",Negative
1096,The Partition of Poland,Unknown,Unknown,1772,Germany,Political,Poland,Prussia acquired West Prussia,Poznań  and other territories,Polish population,Negative
1097,Napoleonic Wars and the Battle of Leipzig,Unknown,October,1813,Germany,Military,Leipzig,Decisive defeat of Napoleon's forces leading to his retreat from Germany,German states,Allied forces against Napoleon,Negative
1098,Congress of Vienna,Unknown,September,1814,Germany,Political,Vienna,Redrew the map of Europe after the Napoleonic Wars stabilizing the continent,Europeans,European powers,Mixed
1099,Revolutions of 1848 in the German states,Unknown,Unknown,1848,Germany,Political/Social,German states,Series of interconnected revolutions demanding national unification and liberal reforms,German population,Various revolutionary groups,Mixed
1100,Unification of Germany,Unknown,January,1871,Germany,Political,Versailles,Establishment of the German Empire under Prussian leadership,German states,Wilhelm I,Positive
1101,FrancoUnknownPrussian War,Unknown,July,1870,Germany,Military,France/Germany,Solidified German unification and shifted the balance of power in Europe,French and Germans,Napoleon III,Negative
1102,World War I,Unknown,July,1814,Germany,Military,Europe,Germany's defeat led to significant territorial losses and the Treaty of Versailles,European powers,Allied Powers,Negative
1103,Weimar Republic Established,Unknown,November,1918,Germany,Political,Germany,Transition from imperial to democratic governance though faced instability,German population,Friedrich Ebert,Mixed
1104,Hyperinflation Crisis,Unknown,Unknown,1923,Germany,Economic,Germany,Economic crisis causing severe inflation crippling the economy,German population,Weimar Government,Mixed
1105,Nazi Party's Rise to Power,Unknown,January,1933,Germany,Political,Germany,Adolf Hitler becomes Chancellor leading to totalitarian regime and WWII,German population,Adolf Hitler,Negative
1106,Kristallnacht (Night of Broken Glass),Unknown,November,1938,Germany,Pogrom,Germany,Nationwide attack on Jewish people and properties,Jewish Germans,Nazi regime,Negative
1107,Beginning of World War II,Unknown,September,1939,Germany,Military,Poland/Germany,Invasion of Poland by Germany leading to global conflict,Global population,Adolf Hitler,Negative
1108,The Holocaust,Unknown,Unknown,1941,Germany,Genocide,Europe,Systematic murder of six million Jews and millions of others,Jews, Nazi regime,Negative
1109,Battle of Stalingrad,Unknown,July,1942,Germany,Military,Stalingrad (Volgograd),Turning point in WWII first major defeat of Nazi Germany,German population, Soviet Union,Negative
1110,DUnknownDay (Normandy Landings),Unknown,June,1944,Germany,Military,Normandy,Allied invasion of NaziUnknownoccupied Europe beginning of the end of WWII in Europe,European civilians,Unknown,Positive
1111,Surrender of Nazi Germany,Unknown,May,1945,Germany,Military,Reims/Berlin,End of World War II in Europe,Global population,Allied Powers,Positive
1112,Marshall Plan Aid,Unknown,Unknown,1948,Germany,Economic,West Germany,US financial aid for European recovery postUnknownWWII significantly aiding West Germany's recovery,German population,United States,Positive
1113,Foundation of the Federal Republic of Germany (West Germany) and the German Democratic Republic (East Germany),Unknown,May,1949,Germany,Political,Germany,Division of Germany into East and West marking the start of the Cold War era,Germans,Allied Powers,Mixed
1114,Construction of the Berlin Wall,Unknown,August,1961,Germany,Political,Berlin,Physical division of East and West Berlin preventing East Germans from fleeing to the West,Berliners,East German government,Negative
1115,The Berlin Wall Falls,Unknown,November,1989,Germany,Political,Berlin,Symbolic end of the Cold War leading to German reunification,East and West Germans,East German government,Positive
1116,German Reunification,Unknown,October,1990,Germany,Political,Germany,Reunification of East and West Germany into a single German state,Helmut Kohl,Mikhail Gorbachev,Positive
1117,Treaty on the Final Settlement with Respect to Germany,Unknown,September,1990,Germany,Political,Moscow,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification,Germans,Two Plus Four Agreement negotiators,Positive
1118,Establishment of the European,Unknown,February,1992,Germany,Political,Maastricht,The Maastricht Treaty laid the foundation for further European integration,Europeans,European Community members,Positive
